task,n_qubits,fm,N,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
cross_high,8,variational,250,1,0.56,0.8266666666666667,-0.2666666666666666,0.6668921005123609,7.223652181300128,7.223652181300128,4.290775740868114,0.9587219875354278,1.0,0.5596265019583445,0.8448227791407533,3.586286318025844
cross_high,8,variational,250,2,0.6666666666666666,0.8,-0.13333333333333341,0.7673040747028713,8.13717949294338,8.137179492943384,4.374358936816873,0.953501831468895,1.0,0.543935776214571,0.8320394118539715,3.496356267598776
cross_high,8,high_dim,250,0,0.64,0.7866666666666666,-0.1466666666666666,2.784321344155743,158.6570128412785,158.6570128412785,7.382779347176396,0.09338849804983718,1.0,0.05977025744484781,0.5265013147395458,0.29524233837233405
cross_high,8,high_dim,250,1,0.52,0.8266666666666667,-0.30666666666666664,3.0954915605269946,160.82496558785232,160.8249655878523,7.391709239815343,0.0810001966408439,1.0,0.056048018311380066,0.5355537023120487,0.2768266045108507
cross_high,8,high_dim,250,2,0.49333333333333335,0.8,-0.3066666666666667,2.5314096686768797,157.19103083656762,157.19103083656762,7.374969659711466,0.10176553807675648,1.0,0.05988977449426909,0.5221924618334741,0.31211538025856755
cross_high,12,angle,250,0,0.8666666666666667,0.7866666666666666,0.08000000000000007,0.5245384130288973,8.587274053704794,8.587274053704803,4.0517602209632155,0.9509298625502584,0.46285714285714286,0.6166899177825215,0.7398758555307302,3.0337240596836863
cross_high,12,angle,250,1,0.8666666666666667,0.8266666666666667,0.040000000000000036,0.42713853909853244,9.727130014098512,9.727130014098517,4.22697692378365,0.944416399919437,0.46285714285714286,0.5828578040046696,0.7433520075107514,2.8579621395247785
cross_high,12,angle,250,2,0.8266666666666667,0.8,0.026666666666666616,0.5813828715673356,10.536868313946234,10.536868313946238,4.291008947797342,0.9397893239203072,0.46285714285714286,0.5592282998808674,0.7298178923272586,2.852310502004128
cross_high,12,iqp,250,0,0.64,0.7866666666666666,-0.1466666666666666,0.8354919785858376,18.595802888234154,18.595802888234154,5.362436441921384,0.8937382692100906,1.0,0.39580316853229836,0.716610256303671,2.9376490551202172
cross_high,12,iqp,250,1,0.56,0.8266666666666667,-0.2666666666666666,0.9568490277141167,22.477071290132088,22.47707129013209,5.578206089003883,0.8715595926278167,1.0,0.34844575963226476,0.6867755158595699,2.598793979290987
cross_high,12,iqp,250,2,0.56,0.8,-0.24,0.9756157151877669,23.366509379383793,23.36650937938378,5.554977915348637,0.866477089260664,1.0,0.35617320055878665,0.668199081554037,2.726507400560955
cross_high,12,variational,250,0,0.6,0.7866666666666666,-0.18666666666666665,0.7209455381042235,6.671454938943933,6.671454938943929,4.111551310652479,0.9618774003488918,1.0,0.5941866904068015,0.8379978064441918,3.7980165112837296
cross_high,12,variational,250,1,0.56,0.8266666666666667,-0.2666666666666666,0.6668921005123609,7.223652181300128,7.223652181300128,4.290775740868114,0.9587219875354278,1.0,0.5596265019583445,0.8448227791407533,3.586286318025844
cross_high,12,variational,250,2,0.6666666666666666,0.8,-0.13333333333333341,0.7673040747028713,8.13717949294338,8.137179492943384,4.374358936816873,0.953501831468895,1.0,0.543935776214571,0.8320394118539715,3.496356267598776
cross_high,12,high_dim,250,0,0.6,0.7866666666666666,-0.18666666666666665,2.9758225275486896,174.23790351937362,174.23790351937362,7.448037163105811,0.004354837032150782,1.0,0.03497991493300351,0.5228389469259174,0.056771044801600556
cross_high,12,high_dim,250,1,0.4533333333333333,0.8266666666666667,-0.37333333333333335,3.274606437412189,174.4903014945345,174.49030149453458,7.449109099591176,0.0029125628883743815,1.0,0.03361845358123749,0.5194042577023766,0.049507486197216365
cross_high,12,high_dim,250,2,0.4666666666666667,0.8,-0.33333333333333337,2.712883415909779,174.2024359632067,174.20243596320674,7.447928756554307,0.004557508781675934,1.0,0.03505762736427906,0.5044203359709521,0.06255609891531107
noisy_harmonic,16,angle,150,0,0.6222222222222222,0.6444444444444445,-0.022222222222222254,0.5542443645603878,9.526523910791736,9.526523910791733,4.081825197622717,0.9092712008496026,0.7714285714285715,0.6024054804194495,0.7102245968371491,3.5827895605757956
noisy_harmonic,16,iqp,150,0,0.4444444444444444,0.6444444444444445,-0.20000000000000007,0.8708557428947695,21.141391139188382,21.141391139188382,5.318691296971663,0.7986534177220154,1.0,0.3661588889975913,0.7204341733589619,1.8881405125069488
noisy_harmonic,16,high_dim,150,0,0.5555555555555556,0.6444444444444445,-0.0888888888888889,2.131630768043816,104.99763684457606,104.99763684457608,6.7142292821238865,2.2506242132736e-05,1.0,0.0482613815514976,0.5017369926251203,0.00394279415625884
